property;network;result;time
1;1,1;proved;234.368285
1;1,2;proved;1721.249049
1;1,3;proved;10.009474
1;1,4;timeout;0.0
1;1,5;proved;748.507042
1;1,6;timeout;0.0
1;1,7;proved;4639.911343
1;1,8;proved;8.275920
1;1,9;proved;5.583340
4;1,1;proved;56.161392
4;1,2;proved;63.706524
4;1,3;refuted;114.243188
4;1,4;proved;85.140920
4;1,5;proved;83.277167
4;1,6;proved;165.945120
4;1,7;timeout;0.0
4;1,8;timeout;0.0
4;1,9;timeout;0.0
4;2,1;proved;87.619773
4;2,2;proved;76.146232
4;2,3;proved;70.591029
4;2,5;proved;87.500247
4;2,6;proved;72.110642
4;2,7;proved;86.578111
4;2,8;proved;93.331367
4;2,9;proved;105.313133
4;3,1;proved;99.670559
4;3,2;proved;92.612429
4;3,3;proved;96.611033
5;1,1;proved;56.671238
6;1,1;proved;195.633395
8;2,9;proved;512.735470
9;3,3;proved;66.187463
10;4,5;proved;116.369745
