property;network;result;time
5;1,1;proved;128.244815
6;1,1;proved;130.110741
7;1,9;refuted;766.329036
1;1,1;proved;137.866722
1;1,2;proved;229.426555
1;1,3;proved;15.887222
1;1,4;timeout;0.0
1;1,5;proved;290.241061
1;1,6;timeout;0.0
1;1,7;timeout;0.0
1;1,8;proved;3.246740
1;1,9;proved;9.453488
1;2,1;timeout;0.0
1;2,2;timeout;0.0
1;2,3;timeout;0.0
1;2,4;timeout;0.0
1;2,5;timeout;0.0
1;2,6;proved;1243.101017
1;2,7;proved;193.839876
4;1,1;proved;93.844499
4;1,2;proved;94.669038
4;1,3;proved;14.927917
4;1,4;timeout;0.0
4;1,5;proved;211.663328
4;1,6;proved;140.289100
4;2,2;proved;1749.983039
4;2,3;proved;1500.085512
4;2,4;proved;1234.541485
4;2,5;proved;1563.279279
4;2,6;proved;917.171326
4;2,7;proved;429.022240
4;2,8;proved;951.054498
4;2,9;proved;342.251217
4;3,1;proved;949.302902
4;3,2;proved;1055.458645
4;3,3;proved;1694.535966
4;3,4;timeout;0.0
4;3,5;timeout;0.0
4;3,6;proved;28.320225
4;3,7;proved;265.603138
4;3,8;proved;239.247230
4;3,9;proved;1209.817603
4;4,1;timeout;0.0
4;4,2;timeout;0.0
4;4,3;proved;1095.725434
10;4,5;refuted;517.952014
9;3,3;proved;0.070159
8;2,9;timeout;0.0
4;4,5;proved;3501.565236
4;4,6;proved;594.898958
4;4,7;proved;23.378468
4;4,8;proved;2274.992699
4;4,9;timeout;0.0
